name,group,eligible,oos_trades,oos_pf,oos_avg_r,oos_net_r,oos_trades_delta,oos_net_r_delta,is_trades,is_pf,is_avg_r,is_net_r,is_trades_delta,is_net_r_delta,patch
sweep_partial_trigger_0p6,single_perturbation,False,12,0.346,-0.171,-2.047,0,-0.322,950,1.081,0.017,15.710,-5,-87.223,"{""param_overrides.pb_v2_partial_profit_trigger_r"": 0.6}"
rollback_partial_trigger_030,accepted_rollback,False,12,0.346,-0.171,-2.047,0,-0.322,952,1.489,0.084,80.210,-3,-22.723,"{""param_overrides.pb_v2_partial_profit_trigger_r"": 0.3}"
sweep_partial_trigger_0p4,single_perturbation,False,12,0.346,-0.171,-2.047,0,-0.322,950,1.233,0.045,42.612,-5,-60.321,"{""param_overrides.pb_v2_partial_profit_trigger_r"": 0.4}"
sweep_carry_close_0p45,single_perturbation,False,12,0.376,-0.172,-2.064,0,-0.339,955,1.660,0.103,98.736,0,-4.197,"{""param_overrides.pb_open_scored_carry_close_pct_min"": 0.45}"
sweep_remainder_stop_0p3,single_perturbation,False,12,0.329,-0.175,-2.101,0,-0.376,952,1.023,0.004,3.351,-3,-99.581,"{""param_overrides.pb_v2_partial_profit_remainder_stop_r"": 0.3}"
sweep_sma_max_15p0,single_perturbation,False,11,0.317,-0.194,-2.136,-1,-0.411,937,1.659,0.103,96.935,-18,-5.997,"{""param_overrides.pb_v2_sma_dist_max_pct"": 15.0}"
sweep_carry_close_0p5,single_perturbation,False,12,0.363,-0.182,-2.187,0,-0.462,956,1.646,0.102,97.196,1,-5.736,"{""param_overrides.pb_open_scored_carry_close_pct_min"": 0.5}"
target_carry_close50_flatten035,targeted_combo,False,12,0.363,-0.182,-2.187,0,-0.462,956,1.646,0.102,97.196,1,-5.736,"{""param_overrides.pb_open_scored_carry_close_pct_min"": 0.5, ""param_overrides.pb_v2_flatten_loss_r"": -0.35}"
target_open_hold1_carry50,targeted_combo,False,12,0.363,-0.182,-2.187,0,-0.462,956,1.646,0.102,97.196,1,-5.736,"{""param_overrides.pb_open_scored_carry_close_pct_min"": 0.5, ""param_overrides.pb_open_scored_max_hold_days"": 1}"
sweep_carry_close_0p75,single_perturbation,False,12,0.363,-0.182,-2.187,0,-0.462,956,1.666,0.103,98.584,1,-4.349,"{""param_overrides.pb_open_scored_carry_close_pct_min"": 0.75}"
sweep_carry_close_0p6,single_perturbation,False,12,0.363,-0.182,-2.187,0,-0.462,956,1.663,0.103,98.420,1,-4.513,"{""param_overrides.pb_open_scored_carry_close_pct_min"": 0.6}"
sweep_carry_mfe_0p2,single_perturbation,False,12,0.356,-0.184,-2.210,0,-0.485,954,1.709,0.108,102.698,-1,-0.235,"{""param_overrides.pb_open_scored_carry_mfe_gate_r"": 0.2}"
target_carry_close50_mfe20,targeted_combo,False,12,0.356,-0.184,-2.210,0,-0.485,954,1.707,0.107,102.516,-1,-0.417,"{""param_overrides.pb_open_scored_carry_close_pct_min"": 0.5, ""param_overrides.pb_open_scored_carry_mfe_gate_r"": 0.2}"
sweep_carry_mfe_0p4,single_perturbation,False,12,0.356,-0.184,-2.210,0,-0.485,954,1.707,0.107,102.301,-1,-0.632,"{""param_overrides.pb_open_scored_carry_mfe_gate_r"": 0.4}"
target_rank75_carry50,targeted_combo,False,11,0.333,-0.208,-2.288,-1,-0.563,899,1.614,0.098,87.821,-56,-15.112,"{""param_overrides.pb_entry_rank_pct_max"": 75.0, ""param_overrides.pb_open_scored_carry_close_pct_min"": 0.5}"
sweep_ema_min_r_0p15,single_perturbation,False,12,0.359,-0.206,-2.468,0,-0.743,954,1.698,0.113,107.325,-1,4.393,"{""param_overrides.pb_v2_ema_reversion_min_r"": 0.15}"
sweep_ema_min_r_0p08,single_perturbation,False,12,0.359,-0.206,-2.468,0,-0.743,956,1.692,0.108,103.708,1,0.775,"{""param_overrides.pb_v2_ema_reversion_min_r"": 0.08}"
sweep_remainder_stop_0p0,single_perturbation,False,11,0.209,-0.225,-2.475,-1,-0.750,948,0.830,-0.026,-25.081,-7,-128.013,"{""param_overrides.pb_v2_partial_profit_remainder_stop_r"": 0.0}"
sweep_sector_cap_1,single_perturbation,False,9,0.204,-0.277,-2.490,-3,-0.765,598,1.628,0.101,60.114,-357,-42.819,"{""max_per_sector"": 1}"
sweep_gap_max_0p5,single_perturbation,False,7,0.124,-0.360,-2.519,-5,-0.795,760,1.670,0.109,82.767,-195,-20.165,"{""param_overrides.pb_v2_gap_max_pct"": 0.5}"
sweep_sma_max_10p0,single_perturbation,False,9,0.123,-0.305,-2.743,-3,-1.018,859,1.638,0.102,87.606,-96,-15.327,"{""param_overrides.pb_v2_sma_dist_max_pct"": 10.0}"
