[alpha-repair] evaluating round4 and round5 baselines
[alpha-repair] running full cohort diagnostics
[alpha-repair] round5 IS=164 +78.90R PF=2.08; OOS=7 +6.36R PF=3.11; evaluating 893 candidates
[alpha-repair] 109/893 neutral_exit_grid/neutral_nrm_2p1_c_0p276_tp1_1p55 score=-0.499 IS=173 +72.0R PF=1.92 OOS=7 +5.8R PF=2.92 strict=False repair=False
[alpha-repair] 110/893 neutral_exit_grid/neutral_nrm_2p1_c_0p276_tp1_1p7 score=-1.652 IS=172 +62.8R PF=1.75 OOS=7 +6.6R PF=3.17 strict=False repair=False
[alpha-repair] 111/893 neutral_exit_grid/neutral_nrm_2p1_c_0p276_tp1_1p8 score=-1.195 IS=171 +64.8R PF=1.77 OOS=7 +6.7R PF=3.24 strict=False repair=False
[alpha-repair] 112/893 neutral_c_offset/neutral_nrm_2p1_c_0p288 score=+0.385 IS=173 +74.6R PF=1.95 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 113/893 neutral_exit_grid/neutral_nrm_2p1_c_0p288_tp1_1p45 score=-0.577 IS=174 +69.6R PF=1.89 OOS=7 +6.1R PF=3.02 strict=False repair=False
[alpha-repair] 114/893 neutral_exit_grid/neutral_nrm_2p1_c_0p288_tp1_1p55 score=-1.175 IS=173 +71.7R PF=1.91 OOS=7 +5.1R PF=2.68 strict=False repair=False
[alpha-repair] 115/893 neutral_exit_grid/neutral_nrm_2p1_c_0p288_tp1_1p7 score=-1.780 IS=172 +61.9R PF=1.74 OOS=7 +6.6R PF=3.17 strict=False repair=False
[alpha-repair] 116/893 neutral_exit_grid/neutral_nrm_2p1_c_0p288_tp1_1p8 score=-0.593 IS=171 +69.0R PF=1.83 OOS=7 +6.7R PF=3.24 strict=False repair=False
[alpha-repair] 117/893 neutral_c_offset/neutral_nrm_2p1_c_0p3 score=-0.033 IS=176 +71.9R PF=1.91 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 118/893 neutral_exit_grid/neutral_nrm_2p1_c_0p3_tp1_1p45 score=-0.599 IS=174 +69.4R PF=1.89 OOS=7 +6.1R PF=3.02 strict=False repair=False
[alpha-repair] 119/893 neutral_exit_grid/neutral_nrm_2p1_c_0p3_tp1_1p55 score=-1.178 IS=173 +71.5R PF=1.91 OOS=7 +5.1R PF=2.69 strict=False repair=False
[alpha-repair] 120/893 neutral_exit_grid/neutral_nrm_2p1_c_0p3_tp1_1p7 score=-1.680 IS=172 +62.6R PF=1.75 OOS=7 +6.6R PF=3.17 strict=False repair=False
[alpha-repair] 121/893 neutral_exit_grid/neutral_nrm_2p1_c_0p3_tp1_1p8 score=-2.547 IS=171 +65.6R PF=1.78 OOS=7 +5.1R PF=2.69 strict=False repair=False
[alpha-repair] 122/893 neutral_c_offset/neutral_nrm_2p1_c_0p32 score=-1.657 IS=171 +73.0R PF=1.93 OOS=6 +4.4R PF=2.47 strict=False repair=False
[alpha-repair] 123/893 neutral_exit_grid/neutral_nrm_2p1_c_0p32_tp1_1p45 score=-2.296 IS=173 +69.8R PF=1.89 OOS=6 +4.2R PF=2.40 strict=False repair=False
[alpha-repair] 124/893 neutral_exit_grid/neutral_nrm_2p1_c_0p32_tp1_1p55 score=-1.891 IS=172 +71.8R PF=1.92 OOS=6 +4.4R PF=2.45 strict=False repair=False
[alpha-repair] 125/893 neutral_exit_grid/neutral_nrm_2p1_c_0p32_tp1_1p7 score=-3.222 IS=172 +64.9R PF=1.78 OOS=6 +4.6R PF=2.52 strict=False repair=False
