name,category,is_expected_total_r,is_net_profit,is_trades_per_month,is_profit_factor,is_max_drawdown_pct,oos_expected_total_r,oos_net_profit,oos_trades_per_month,oos_profit_factor,oos_max_drawdown_pct,is_guardrail,oos_floor,strict_joint_uplift,preliminary_score
risk__industrials_mult_025,sector_risk,263.08593222301295,30966.68,55.816495028409086,1.893261541674527,0.11942598939286705,49.67576122961951,2551.0900000000074,54.7875,3.278939093459128,0.019530660680310036,True,True,False,0.9877786587373656
reclaim__or_avwap__rvol_1p7,entry_expansion,281.6306787462338,34333.67000000002,72.93758877840908,1.7303539721542163,0.13273776422204883,43.15951968097731,2567.720000000004,63.411458333333336,2.7980099293461977,0.014450468482808877,False,False,False,0.9875817335476678
quality__size_floor_0p6,signal_quality_sizing,255.77681703168224,28049.27,56.637961647727266,1.896764530041594,0.10586680994870984,50.52132837696588,2489.0800000000067,56.309375,3.47822537286686,0.01720313847723759,True,True,False,0.9863674544521501
combo__entry_expansion__signal_geometry,orthogonal_combination,250.2904807475039,31893.869999999988,57.76207386363636,1.8714105465859816,0.12400116442231988,48.06771899986072,2708.9900000000066,52.251041666666666,3.5481746949986475,0.02020578611726804,True,True,False,0.9856288137821196
risk__thursday_mult_0p85,calendar_risk,261.0106104949408,29912.729999999996,56.11914062499999,1.8729193818275411,0.11447905812463437,51.39619018380183,2449.580000000007,54.7875,3.2309471766848974,0.019540768103500628,True,True,False,0.9837717793672554
risk__thursday_mult_0p75,calendar_risk,251.35706008280337,29289.46,56.37855113636363,1.8634090576787932,0.11121393494041502,52.89860564273903,2418.340000000007,55.29479166666667,3.2168707832209016,0.019483890908964605,True,True,False,0.9828366902254767
reclaim__or_pdh__default,entry_expansion,267.75869198288484,32422.060000000005,60.52911931818181,1.82548388435507,0.11157122574538655,44.28215942424151,2635.180000000006,55.29479166666667,3.326643769700086,0.0143372148171954,True,True,False,0.9800111470562616
geometry__avwap_cap_0p015,signal_geometry,239.90805252313697,29660.139999999992,55.08149857954545,1.8811082780712312,0.11811141743435977,49.37167224776554,2582.810000000007,53.265625,3.6041378893134945,0.019528017310480334,True,True,False,0.9770208571912046
score__six_plus_size_0p9,score_discrimination,245.92981336700365,29051.020000000004,56.292080965909086,1.8639061102335226,0.11368170542322988,51.123752574843756,2463.5500000000075,55.802083333333336,3.2476210461010866,0.019398394472387854,True,True,False,0.9756406278500646
capacity__sector_limit_4,capacity,267.6517254020059,32420.230000000003,56.37855113636363,1.926026119349696,0.11885407723623884,47.694498101009685,2401.9700000000075,56.81666666666667,2.9873493128583726,0.019541022272516424,True,True,False,0.9738311417623318
